BP Number,Priority,Public Safety and Disaster,Reference,cable,internet/Data,satellite,wireless,wireline,Service Provider,Network Operator,"Priority (1,2,3)",Equipment Supplier,Property Manager,Government,Public Safety,Keywords,,,,,,,,,,,,,,,,,,,,,
12-10-0472,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,TRUE,FALSE,FALSE,TRUE,Hardware, Network Elements,,,,,,,,,,,,,,,,,,,,
12-10-0473,Highly Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE,Access Control, Human Resources, Physical Security Management,,,,,,,,,,,,,,,,,,,
12-10-0474,Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,TRUE,Buildings,,,,,,,,,,,,,,,,,,,,,
12-10-0475,Highly Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE,Access Control, Industry Cooperation, Physical Security Management,,,,,,,,,,,,,,,,,,,
12-10-0477,Highly Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Network Design,,,,,,,,,,,,,,,,,,,,,
12-10-0478,Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,TRUE,Network Design,,,,,,,,,,,,,,,,,,,,,
12-10-0480,Highly Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE,Hardware, Policy,,,,,,,,,,,,,,,,,,,,
12-10-0481,Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,TRUE,Network Design,,,,,,,,,,,,,,,,,,,,,
12-10-0482,Highly Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Network Operations,,,,,,,,,,,,,,,,,,,,,
12-10-0483,Highly Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Documentation, Network Operations,,,,,,,,,,,,,,,,,,,,
12-10-0484,Highly Important,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Network Operations, Procedures,,,,,,,,,,,,,,,,,,,,
12-10-0486,Important,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,Network Operations, Procedures,,,,,,,,,,,,,,,,,,,,
12-10-0487,Highly Important,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,FALSE,Industry Cooperation, Network Operations, Procedures,,,,,,,,,,,,,,,,,,,
12-10-0488,Important,TRUE,http://www.dhs.gov/telecommunications- service-priority-tsp    http://transition.fcc.gov/pshs/services/priority- services/tsp.html,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE,Emergency Preparedness, Essential Services, Liaison, Public Safety and Disaster,,,,,,,,,,,,,,,,,,
12-10-0489,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE,FALSE,TRUE,Emergency Preparedness, Human Resources,,,,,,,,,,,,,,,,,,,,
12-10-0490,Important,TRUE,"NFPA 75 and 76. When zoning regulations require sprinkler systems, an exemption should be sought for the use of non- destructive systems.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE,Buildings, Fire,,,,,,,,,,,,,,,,,,,,
12-10-0492,Critical,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3,FALSE,TRUE,FALSE,TRUE,Buildings, Emergency Preparedness, Power, Public Safety and Disaster,,,,,,,,,,,,,,,,,,
12-10-0493,Critical,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,TRUE,Power,,,,,,,,,,,,,,,,,,,,,
12-10-0495,Critical,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3,FALSE,TRUE,FALSE,TRUE,Emergency Preparedness, Industry Cooperation, Network Operations, Power, Public Safety and Disaster,,,,,,,,,,,,,,,,,
12-10-0496,Highly Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE,Emergency Preparedness, Power,,,,,,,,,,,,,,,,,,,,
12-10-0498,Highly Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE,Buildings, Disaster Recovery, Emergency Preparedness, Power,,,,,,,,,,,,,,,,,,
12-10-0501,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE,Hardware, Network Elements, Network Operations, Policy, Procedures, Software, Technical Support,,,,,,,,,,,,,,,
12-10-0511,Highly Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE,Emergency Preparedness, Essential Services, Network Elements, Network Operations, Procedures, Technical Support, Training and Awareness,,,,,,,,,,,,,,,
12-10-0512,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,Buildings, Fire, Network Operations, Physical Security Management, Procedures,,,,,,,,,,,,,,,,,
12-10-0514,Highly Important,FALSE,Examples of device management architectures that support multiple platforms are Common Object Request Broker Architecture (CORBA) and Simple Network Management Protocol (SNMP).,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Human Resources, Intrusion Detection, Network Elements, Security Systems,,,,,,,,,,,,,,,,,,
12-10-0517,Highly Important,FALSE,"The management of peak load and overload conditions can apply to bearer traffic, signaling traffic, routing and control protocol traffic, network management traffic and messaging, accounting statistics, and flow reporting.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,Network Elements, Network Interoperability, Pandemic, Software,,,,,,,,,,,,,,,,,,
12-10-0524,Highly Important,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Industry Cooperation, Network Interoperability, Network Operations,,,,,,,,,,,,,,,,,,,
12-10-0526,Highly Important,FALSE,"This database might be used as the source for interface configurations as well as troubleshooting problems. These outside entities may be central, regional, or global in nature.",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Industry Cooperation, Network Interoperability, Network Operations, Network Provisioning,,,,,,,,,,,,,,,,,,
12-10-0531,Highly Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Network Operations, Procedures,,,,,,,,,,,,,,,,,,,,
12-10-0540,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,TRUE,Documentation, Industry Cooperation, Network Elements, Technical Support,,,,,,,,,,,,,,,,,,
12-10-0542,Highly Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,Corporate Ethics, Network Elements, Software, Supervision,,,,,,,,,,,,,,,,,,
12-10-0546,Critical,TRUE,"Note: This Best practice could impact 9-1-1 operations.  With this design, two or more simultaneous failures or errors need to occur at the same time to cause a service interruption.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,Cyber Security, Facilities - Transport, Network Provisioning, Public Safety and Disaster,,,,,,,,,,,,,,,,,,
12-10-0547,Highly Important,TRUE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Network Elements, Network Provisioning, Public Safety and Disaster,,,,,,,,,,,,,,,,,,,
12-10-0648,Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,Buildings, Power, Procedures,,,,,,,,,,,,,,,,,,,
12-10-0548,Highly Important,TRUE,NRSC at http://www.atis.org. Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE,Network Elements, Technical Support,,,,,,,,,,,,,,,,,,,,
12-10-0552,Highly Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,Network Elements, Software,,,,,,,,,,,,,,,,,,,,
12-10-0553,Highly Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,Hardware, Network Elements, Software,,,,,,,,,,,,,,,,,,,
12-10-0554,Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,Hardware, Network Elements, Software,,,,,,,,,,,,,,,,,,,
12-10-0557,Highly Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,Hardware, Network Elements, Software,,,,,,,,,,,,,,,,,,,
12-10-0559,Highly Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Hardware, Network Elements, Procedures, Software,,,,,,,,,,,,,,,,,,
12-10-0561,Important,FALSE,"The operations and maintenance manual should give an overview of the system and identify procedures for regularly scheduled operations, including security administration (ref. GR-815, GR-1332) and should cover methods to recover from total and partial network element outages. In addition, the documentation should be clear on how to manage emergency and unforeseen situations, and include a technical support escalation process.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,Documentation, Network Elements, Procedures,,,,,,,,,,,,,,,,,,,
12-10-0564,Important,FALSE,"Advanced training should be developed for personnel responsible for the technical support of various products, including operations supervisors, maintenance engineers, operational support personnel, communications technicians, and security administrators.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,Documentation, Network Elements, Procedures, Training and Awareness,,,,,,,,,,,,,,,,,,
12-10-0565,Important,FALSE,"This can be done as follows: request and use customer feedback, jointly perform detailed Root Cause Analysis for reported hardware failures, software faults and procedural errors, working together to establish reliability and performance field objectives.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,Documentation, Network Elements,,,,,,,,,,,,,,,,,,,,
12-10-0582,Highly Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,TRUE,Essential Services,,,,,,,,,,,,,,,,,,,,,
12-10-0584,Important,FALSE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE,TRUE,FALSE,Business Continuity, Emergency Preparedness, Essential Services, Industry Cooperation, Liaison,,,,,,,,,,,,,,,,,
12-10-0587,Important,FALSE,"The TSP Program is an FCC program used to identify and prioritize telecommunication services that support NSEP missions. The TSP Program also provides a legal means for the telecommunications industry to provide preferential treatment to services enrolled in the program. More information on the TSP Program can be obtained from the National Communications System (NCS) Office of Priority Telecommunications, Manager National Communications System, Attn: OPT/N3, 701 South Courthouse Road, Arlington, Virginia 22204-2198, on telephone 703-607-4932 or at http://www.dhs.gov/telecommunications-service- priority-tsp. Note: This Best practice could impact 9-1-1 operations.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,FALSE,Business Continuity, Disaster Recovery, Emergency Preparedness, Essential Services, Network Operations, Network Provisioning, Pandemic, Policy, Public Safety and Disaster,,,,,,,,,,,,,
12-10-0589,Highly Important,TRUE,This training should reinforce the importance of following procedures at all times and emphasize the steps required to successfully detect problems and to isolate the problem systematically and quickly without causing further system degradation. Lack of troubleshooting experience and proper training in trouble detection and isolation usually prolongs the trouble detection and isolation process.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE,Supervision, Training and Awareness,,,,,,,,,,,,,,,,,,,,
12-10-0594,Highly Important,FALSE,"ATIS-0300018, Next Generation Interconnection Interoperability (NGIIF) Reference Document: Part III, Installation, Testing and Maintenance Responsibilities for SS7 Links and Trunks Attachment G Link Diversity Validation Guidelines, found at http://www.atis.org/docstore. Note: This Best practice could impact 9-1-1 operations.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Facilities - Transport, Network Operations, Procedures, Public Safety and Disaster,,,,,,,,,,,,,,,,,,
12-10-0595,Highly Important,TRUE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Network Operations, Network Provisioning, Pandemic, Policy, Procedures, Supervision, Training and Awareness,,,,,,,,,,,,,,,
12-10-0600,Highly Important,FALSE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Documentation, Network Operations, Network Provisioning, Procedures, Supervision,,,,,,,,,,,,,,,,,
12-10-0601,Important,FALSE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,Corporate Ethics, Network Operations, Network Provisioning, Procedures, Supervision,,,,,,,,,,,,,,,,,
12-10-0605,Highly Important,FALSE,"The synchronization plan should include interfaces, customers (both retail and wholesale) and network peers. The plan should encompass all services provided by and used by the Network Operators and Service Providers. The plan should include: synchronization hierarchy, failure avoidance, redundancy and backup for resilience, FMECA and SPOFA. Synchronization performance expectations (24hr slip rate) should be determined in both primary and backup operation scenarios. Timing loop analysis must be performed in the primary arrangement and in all potential failure scenarios. Note: This Best practice could impact 9-1-1 operations.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Industry Cooperation, Network Elements, Network Interoperability, Network Operations, Network Provisioning, Procedures,,,,,,,,,,,,,,,,
12-10-0607,Highly Important,FALSE,"At a minimum, these agreements should address the escalation procedures to be used when a problem occurs in one network. The agreement should also address what information will be shared between the interconnected companies.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Facilities - Transport, Industry Cooperation, Network Interoperability, Network Operations, Policy, Procedures,,,,,,,,,,,,,,,,
12-10-0611,Important,FALSE,"Electronic access to documentation will allow better version control and ease of access for field personnel. Additionally, electronic access allows implementation and delivery of future enhancements such as interactive methods and information. Local back-up copies should be readily available.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,Documentation, Information Protection, Procedures, Software,,,,,,,,,,,,,,,,,,
12-10-0614,Important,FALSE,"The equipment designation should not be placed on removable parts such as covers, panels, doors, or vents that can be removed and mistakenly installed on a different network element.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE,FALSE,FALSE,Hardware, Network Elements,,,,,,,,,,,,,,,,,,,,
12-10-0615,Highly Important,TRUE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Network Operations, Network Provisioning, Procedures,,,,,,,,,,,,,,,,,,,
12-10-0617,Highly Important,FALSE,"Adverse routing conditions may include such things as infinite looping and flooding of datagrams across data networks. Controls should be implemented across network boundaries to limit the frequency of route advertisements and prevent routing of reserved or private address space. Controls should also prevent unauthorized advertisements of other operators' address space that is not legitimately allocated or assigned to the proper entity. For example, see those addressed in RFC 1918 - http://www.rfc-
editor.org/info/rfc1918. Note: This Best practice could impact 9-1-1 operations.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Cyber Security, Network Interoperability, Network Operations, Network Provisioning, Procedures,,,,,,,,,,,,,,,,,
12-10-0620,Important,FALSE,Telcordia GR-63 01 Network Equipment-Building System (NEBS) Requirements may be purchased at   http://telecom-info.telcordia.com/site-cgi/ido/docs2.pl?ID=170086171&page=home,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,Fire,,,,,,,,,,,,,,,,,,,,,
12-10-0621,Important,FALSE,http://192.4.253.70/services/testing/nebs/index.html,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,Fire, Policy,,,,,,,,,,,,,,,,,,,,
12-10-0623,Important,FALSE,"The aging properties of these batteries can lead to thermal runaway that may cause a fire. See GR-4228, VRLA Battery String Certification Levels Based on Requirements for Safety and Performance and http://telecom-info.telcordia.com/site-cgi/ido/docs.cgi?DOCUMENT=gr-
4228&amp;KEYWORDS=&amp;TITLE=&amp;ID=097222093
SEARCH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,Fire, Network Operations, Power, Procedures,,,,,,,,,,,,,,,,,,
12-10-0624,Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,Documentation, Fire, Network Elements, Network Operations, Network Provisioning, Power, Procedures,,,,,,,,,,,,,,,
12-10-0625,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,Buildings, Fire, Power,,,,,,,,,,,,,,,,,,,
12-10-0626,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,Buildings, Fire, Procedures,,,,,,,,,,,,,,,,,,,
12-10-0627,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,Fire, Network Operations, Power, Procedures,,,,,,,,,,,,,,,,,,
12-10-0628,Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,Network Operations, Procedures,,,,,,,,,,,,,,,,,,,,
12-10-0631,Important,FALSE,"These procedures should include, among other things, guidance for the safe operation of all electrical appliances at this facility, including space heaters which are a frequent source of fires.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,FALSE,FALSE,Buildings, Fire, Physical Security Management, Procedures, Training and Awareness,,,,,,,,,,,,,,,,,
12-10-0634,Critical,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,TRUE,FALSE,TRUE,Emergency Preparedness, Liaison, Network Operations, Network Provisioning, Power,,,,,,,,,,,,,,,,,
12-10-0640,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,Buildings, Network Operations, Procedures,,,,,,,,,,,,,,,,,,,
12-10-0645,Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,Buildings, Procedures,,,,,,,,,,,,,,,,,,,,
12-10-0649,Highly Important,TRUE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,Buildings, Fire,,,,,,,,,,,,,,,,,,,,
12-10-0650,Critical,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,TRUE,FALSE,TRUE,Network Operations, Power, Procedures, Supervision, Training and Awareness,,,,,,,,,,,,,,,,,
12-10-0651,Critical,TRUE,"For large battery plants in critical offices, dual AC feeds should be considered.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,TRUE,FALSE,TRUE,Buildings, Network Operations, Power, Public Safety and Disaster,,,,,,,,,,,,,,,,,,
12-10-0652,Highly Important,FALSE,"http://telecom-info.telcordia.com/site- cgi/ido/docs2.pl?ID=170086171&page=home , http://www.atis.org/docstore , and Telcordia GR-513-CORE (Power - LSSGR section 13), Telcordia GR-63-CORE (NEBS), Telcordia GR-295-CORE (Isolated Ground Planes), Telcordia GR-1089-CORE (Electromagnetic Compatibility), and ATIS-0600311.2007 (DC Power Systems - Telecommunications Environment Protection).",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,FALSE,FALSE,Network Operations, Network Provisioning, Power,,,,,,,,,,,,,,,,,,,
12-10-0653,Highly Important,TRUE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,Policy, Power,,,,,,,,,,,,,,,,,,,,
